Sample in Buffer,Sample in Window,TRIGGER,CPU/datapath/RegisterFile/output[4]_3[31:0],CPU/datapath/RegisterFile/output[0]_7[31:0],CPU/datapath/RegisterFile/output[6]_1[31:0],CPU/datapath/RegisterFile/output[7]_0[31:0],CPU/datapath/AdressI[31:0],CPU/datapath/RegisterFile/output[1]_6[31:0],CPU/datapath/RegisterFile/output[2]_5[31:0],CPU/datapath/RegisterFile/output[5]_2[31:0],CPU/datapath/RegisterFile/output[3]_4[31:0],CPU/datapath/PC_out[31:0],CPU/I_line[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
108,108,0,00000418,00000044,1800fde0,000003a2,000002e6,08000280,0000001e,00000002,00000000,000002e8,a736
109,109,0,00000418,00000044,1800fde0,000003a2,000002e6,08000280,0000001e,00000002,00000000,000002e8,40b2
110,110,0,00000418,00000044,1800fde0,000003a2,1800fde0,08000280,0000001e,00000002,00000000,000002e8,40b2
111,111,0,00000418,00000044,1800fde0,000003a2,1800fde0,08000280,0000001e,00000002,00000000,000002e8,40b2
112,112,0,00000418,00000044,1800fde0,000003a2,1800fde0,08000280,0000001e,00000002,00000000,000002e8,40b2
113,113,0,00000418,00000044,1800fde0,000003a2,000002e8,08000280,0000001e,00000002,00000000,000002ea,40b2
114,114,0,00000418,00000044,1800fde0,000003a2,000002e8,08000280,0000001e,00000002,00000000,000002ea,a736
115,115,0,00000418,00000044,1800fddc,000003a2,000002e8,08000280,0000001e,00000002,00000000,000002ea,a736
116,116,0,00000418,00000044,1800fddc,000003a2,000002ea,08000280,0000001e,00000002,00000000,000002ec,a736
117,117,0,00000418,00000044,1800fddc,000003a2,000002ea,08000280,0000001e,00000002,00000000,000002ec,40b1
118,118,0,00000418,00000044,1800fddc,000003a2,1800fddc,08000280,0000001e,00000002,00000000,000002ec,40b1
119,119,0,00000418,00000044,1800fddc,000003a2,1800fddc,08000280,0000001e,00000002,00000000,000002ec,40b1
120,120,0,00000418,00000044,1800fddc,000003a2,1800fddc,08000280,0000001e,00000002,00000000,000002ec,40b1
121,121,0,00000418,00000044,1800fddc,000003a2,000002ec,08000280,0000001e,00000002,00000000,000002ee,40b1
122,122,0,00000418,00000044,1800fddc,000003a2,000002ec,08000280,0000001e,00000002,00000000,000002ee,a736
123,123,0,00000418,00000044,1800fdd8,000003a2,000002ec,08000280,0000001e,00000002,00000000,000002ee,a736
124,124,0,00000418,00000044,1800fdd8,000003a2,000002ee,08000280,0000001e,00000002,00000000,000002f0,a736
125,125,0,00000418,00000044,1800fdd8,000003a2,000002ee,08000280,0000001e,00000002,00000000,000002f0,40b0
126,126,0,00000418,00000044,1800fdd8,000003a2,1800fdd8,08000280,0000001e,00000002,00000000,000002f0,40b0
